id,shopId,observedAt,priceCents,productType,sourceType,confidence,sourceUrl,notes
price-pamfilya-wedding-2026-06-02-standard-doener,pamfilya-wedding,2026-06-02,990,standard_doener,shop_website,85,https://pamfilyarestaurant.de/speisekarte/,Reviewed official shop website on 2026-06-02; standard Doener price.
price-imbiss-koenig-reinickendorf-2026-06-02-standard-doener,imbiss-koenig-reinickendorf,2026-06-02,740,standard_doener,shop_website,85,https://imbiss-koenig.net/,Reviewed official shop website on 2026-06-02; base standard Doener price.
price-douran-doener-neukoelln-2026-06-03-standard-doener,douran-doener-neukoelln,2026-06-03,700,standard_doener,user_submission,65,,Draft from public form submission; verify before publication.
price-dueruemcue-baba-tempelhof-schoeneberg-2026-06-04-standard-doener,dueruemcue-baba-tempelhof-schoeneberg,2026-06-04,750,standard_doener,user_submission,65,,Draft from public form submission; verify before publication.
